username,user_id,rt_user,rt_count
BECAES_,459202451,larazon_es:,2
BECAES_,459202451,almudenanegro:,2
BECAES_,459202451,canete707:,2
BECAES_,459202451,abc_es:,2
BECAES_,459202451,voz_populi:,2
BECAES_,459202451,rosadiezglez:,4
BECAES_,459202451,okdiario:,3
BECAES_,459202451,dani10_ATH,2
BECAES_,459202451,carlesenric:,3
BECAES_,459202451,harryelsocio:,2
BECAES_,459202451,JosPastr:,2
BECAES_,459202451,WillyTolerdoo:,2
BECAES_,459202451,Proserpinasb:,3
Beitts24,28308035,jordi_canyas:,2
Beitts24,28308035,ElPais_Today:,2
Beitts24,28308035,carlesenric:,12
Beitts24,28308035,extremo_centro_:,2
Beitts24,28308035,IdiazAyuso:,2
Beitts24,28308035,ManuelLopSor:,6
Beitts24,28308035,cris_ayala_:,2
Beitts24,28308035,PedroOtamendi:,2
Beitts24,28308035,JosPastr:,7
Beitts24,28308035,VCodvid:,2
Beitts24,28308035,iBarbarellah:,3
Beitts24,28308035,rosadiezglez:,3
Beitts24,28308035,mottstreet6:,2
Beitts24,28308035,ldpsincomplejos:,6
Beitts24,28308035,matthewbennett:,10
Beitts24,28308035,GirautaOficial:,3
Beitts24,28308035,jlandreu2014:,2
Beitts24,28308035,Covid19_Time:,6
Beitts24,28308035,PJoliCo:,9
Beitts24,28308035,unchinodechina:,4
Beitts24,28308035,MISSBLANDINGS:,2
Beitts24,28308035,EugeniodOrs_:,2
Beitts24,28308035,MaxTena1:,7
Beitts24,28308035,Proserpinasb:,2
Beitts24,28308035,rimbaudarth:,2
Beitts24,28308035,GuiriEnTabarnia:,2
belll5000,277574881,crpandemonium:,7
belll5000,277574881,Alvisepf:,13
belll5000,277574881,ariasvicente431,2
belll5000,277574881,hermanntertsch:,7
belll5000,277574881,ElPais_Today:,2
belll5000,277574881,JuanfraEscudero:,2
belll5000,277574881,carlesenric:,9
belll5000,277574881,eduardoinda:,2
belll5000,277574881,FrayJosepho:,2
belll5000,277574881,NicoBolivariano:,3
belll5000,277574881,cris_sor,2
belll5000,277574881,JosPastr:,5
belll5000,277574881,pnique,6
belll5000,277574881,ElSrDerecha:,2
belll5000,277574881,Sayo_cab75,2
belll5000,277574881,laSextaTV,2
belll5000,277574881,TsTrejo,2
belll5000,277574881,alfonso_ussia:,2
belll5000,277574881,Santi_ABASCAL:,4
belll5000,277574881,ldpsincomplejos:,5
belll5000,277574881,mmendizabal1,2
beltran_cyl,2694099373,BernaldoDQuiros:,4
beltran_cyl,2694099373,DanielVianaR:,3
beltran_cyl,2694099373,FranciscoIgea:,2
beltran_cyl,2694099373,diegodelacruz:,2
beltran_cyl,2694099373,JuntosSotillo:,2
beltran_cyl,2694099373,alferma1:,3
beltran_cyl,2694099373,hermanntertsch:,2
beltran_cyl,2694099373,populares:,4
beltran_cyl,2694099373,PilarGGranja:,2
beltran_cyl,2694099373,juanrallo:,17
beltran_cyl,2694099373,EsterMunoz85:,6
beltran_cyl,2694099373,carmen_caesaris:,2
beltran_cyl,2694099373,carlesenric:,4
beltran_cyl,2694099373,CristinaSegui_:,9
beltran_cyl,2694099373,EdurneUriarte:,2
beltran_cyl,2694099373,AntonioRNaranjo:,5
beltran_cyl,2694099373,IdiazAyuso:,4
beltran_cyl,2694099373,dlacalle:,10
beltran_cyl,2694099373,perezreverte:,3
beltran_cyl,2694099373,rosadiezglez:,10
beltran_cyl,2694099373,BoadellaAlbert:,2
beltran_cyl,2694099373,anarosaq:,2
beltran_cyl,2694099373,alfonso_ussia:,3
beltran_cyl,2694099373,FrayJosepho:,3
beltran_cyl,2694099373,PilarJerico:,3
beltran_cyl,2694099373,esCesarVidal:,2
beltran_cyl,2694099373,crpandemonium:,9
beltran_cyl,2694099373,bea_fanjul:,4
beltran_cyl,2694099373,HUMORJMNIETO:,2
beltran_cyl,2694099373,thecentenator:,2
beltran_cyl,2694099373,Alvisepf:,3
beltran_cyl,2694099373,JesusMartin_95:,2
beltran_cyl,2694099373,clubdeviernes:,4
beltran_cyl,2694099373,CarlosGarcia_PP:,2
beltran_cyl,2694099373,pmanglano:,4
beltran_cyl,2694099373,ldpsincomplejos:,4
beltran_cyl,2694099373,GirautaOficial:,5
beltran_cyl,2694099373,VidalQuadras:,2
Beradi5,1208874705123454978,hermanntertsch,2
Beradi5,1208874705123454978,ElenaBerberana:,7
Beradi5,1208874705123454978,joseramirezdel2:,3
Beradi5,1208874705123454978,joseramirezdel2,2
Beradi5,1208874705123454978,michiki_ta:,2
Beradi5,1208874705123454978,sheepols,2
Beradi5,1208874705123454978,janogarcia_:,6
Beradi5,1208874705123454978,janogarcia_,5
Beradi5,1208874705123454978,Andrea49730327:,3
Beradi5,1208874705123454978,curalix:,2
Beradi5,1208874705123454978,diazvillanueva:,2
Beradi5,1208874705123454978,ElenaBerberana,4
Beradi5,1208874705123454978,doctorgaona:,2
Beradi5,1208874705123454978,pablocasado_:,3
Beradi5,1208874705123454978,geoestratego,2
Beradi5,1208874705123454978,Alvisepf:,5
Beradi5,1208874705123454978,okdiario,2
Beradi5,1208874705123454978,CogedTuppers:,2
Beradi5,1208874705123454978,rosadiezglez:,2
Beradi5,1208874705123454978,IdiazAyuso,5
Beradi5,1208874705123454978,PabloFuente:,4
Beradi5,1208874705123454978,diazvillanueva,2
Beradi5,1208874705123454978,KettyGarat:,2
Beradi5,1208874705123454978,Maria60606378:,2
Beradi5,1208874705123454978,psyqueshake,2
Beradi5,1208874705123454978,eledhmel:,2
Beradi5,1208874705123454978,IdiazAyuso:,7
Beradi5,1208874705123454978,Alvisepf,3
Beradi5,1208874705123454978,KarlSeta5:,2
Beradi5,1208874705123454978,michiki_ta,6
Beradi5,1208874705123454978,hermanntertsch:,3
__Bernardinho__,129923500,MariaJamardoC:,2
__Bernardinho__,129923500,Ivaningrado:,2
__Bernardinho__,129923500,JuanfraEscudero:,3
__Bernardinho__,129923500,matthewbennett:,2
__Bernardinho__,129923500,iBarbarellah:,2
__Bernardinho__,129923500,jmdelalamo:,2
__Bernardinho__,129923500,Isthar6680,2
__Bernardinho__,129923500,vox_es:,8
__Bernardinho__,129923500,Alvisepf:,11
__Bernardinho__,129923500,Macarena_Olona:,2
__Bernardinho__,129923500,wallstwolverine:,2
__Bernardinho__,129923500,EugeniodOrs_:,2
__Bernardinho__,129923500,MonederoJC,2
__Bernardinho__,129923500,eduardoinda:,2
__Bernardinho__,129923500,okdiario:,2
__Bernardinho__,129923500,juanrallo:,2
