count,username,name,user_id,trunc_date
11,jesusparente,Jesús,485533994,2020-03-30T08:00:00Z
16,JJCarrillo15,J. J. C.,902518737580027905,2020-03-31T11:00:00Z
13,JJCarrillo15,J. J. C.,902518737580027905,2020-03-31T10:00:00Z
22,JJCarrillo15,J. J. C.,902518737580027905,2020-03-31T01:00:00Z
25,JJGrijander,JJ Grijander🇪🇸🇪🇸,1007370128,2020-03-31T00:00:00Z
113,JJGrijander,JJ Grijander🇪🇸🇪🇸,1007370128,2020-03-30T23:00:00Z
33,JJGrijander,JJ Grijander🇪🇸🇪🇸,1007370128,2020-03-30T22:00:00Z
29,JJGrijander,JJ Grijander🇪🇸🇪🇸,1007370128,2020-03-30T16:00:00Z
13,jmarevalo_1812,José María Arévalo 🇪🇦 ن 📖L1812,3011911935,2020-03-30T19:00:00Z
30,jmarevalo_1812,José María Arévalo 🇪🇦 ن 📖L1812,3011911935,2020-03-30T18:00:00Z
15,jmazcarate1,Chema,2805402068,2020-03-31T00:00:00Z
12,jmazcarate1,Chema,2805402068,2020-03-30T23:00:00Z
29,jmazcarate1,Chema,2805402068,2020-03-30T19:00:00Z
65,jmazcarate1,Chema,2805402068,2020-03-30T17:00:00Z
41,jmazcarate1,Chema,2805402068,2020-03-30T09:00:00Z
15,jmlopmar,José López,2857803771,2020-03-30T22:00:00Z
34,jmlopmar,José López,2857803771,2020-03-30T18:00:00Z
50,jmlopmar,José López,2857803771,2020-03-30T14:00:00Z
74,jmlopmar,José López,2857803771,2020-03-30T13:00:00Z
15,Joaquin67910350,Joaquin Herrero 🇪🇸🕉🇪🇸🇪🇸🇪🇸,1018837634741886978,2020-03-31T00:00:00Z
51,Joaquin67910350,Joaquin Herrero 🇪🇸🕉🇪🇸🇪🇸🇪🇸,1018837634741886978,2020-03-30T23:00:00Z
58,Joaquin67910350,Joaquin Herrero 🇪🇸🕉🇪🇸🇪🇸🇪🇸,1018837634741886978,2020-03-30T00:00:00Z
41,jomarlle,José Marqués 🇪🇸🥦,56744327,2020-03-31T06:00:00Z
28,jomarlle,José Marqués 🇪🇸🥦,56744327,2020-03-30T20:00:00Z
50,jomarlle,José Marqués 🇪🇸🥦,56744327,2020-03-30T19:00:00Z
33,jomarlle,José Marqués 🇪🇸🥦,56744327,2020-03-30T18:00:00Z
46,jomarlle,José Marqués 🇪🇸🥦,56744327,2020-03-30T17:00:00Z
47,Jordiammat,jorge a. m.,1006901474,2020-03-30T23:00:00Z
26,JordiGGCC,Pancho Puskas,276574172,2020-03-30T21:00:00Z
17,JordiGGCC,Pancho Puskas,276574172,2020-03-30T20:00:00Z
16,JordiGGCC,Pancho Puskas,276574172,2020-03-30T16:00:00Z
15,JordiGGCC,Pancho Puskas,276574172,2020-03-30T13:00:00Z
12,JordiGGCC,Pancho Puskas,276574172,2020-03-30T12:00:00Z
30,JordiGGCC,Pancho Puskas,276574172,2020-03-30T11:00:00Z
41,JordiGGCC,Pancho Puskas,276574172,2020-03-30T09:00:00Z
12,JordiGGCC,Pancho Puskas,276574172,2020-03-30T08:00:00Z
25,Jored_31422,Jored🇪🇸,861668982729912320,2020-03-31T00:00:00Z
18,Jored_31422,Jored🇪🇸,861668982729912320,2020-03-30T00:00:00Z
19,Jorgecasot,Jorge Cabeza,2533706814,2020-03-30T23:00:00Z
26,Jorgecasot,Jorge Cabeza,2533706814,2020-03-30T21:00:00Z
15,Jorgecasot,Jorge Cabeza,2533706814,2020-03-30T16:00:00Z
15,Jorgecasot,Jorge Cabeza,2533706814,2020-03-30T13:00:00Z
65,Jorgecasot,Jorge Cabeza,2533706814,2020-03-30T09:00:00Z
19,Jos61752103,El Justiciero.VOX.ESPAÑA,1181157161667366914,2020-03-31T01:00:00Z
59,Jos61752103,El Justiciero.VOX.ESPAÑA,1181157161667366914,2020-03-31T00:00:00Z
38,Jos61752103,El Justiciero.VOX.ESPAÑA,1181157161667366914,2020-03-30T23:00:00Z
49,Jos61752103,El Justiciero.VOX.ESPAÑA,1181157161667366914,2020-03-30T20:00:00Z
21,Jos61752103,El Justiciero.VOX.ESPAÑA,1181157161667366914,2020-03-30T19:00:00Z
20,Jos61752103,El Justiciero.VOX.ESPAÑA,1181157161667366914,2020-03-30T18:00:00Z
19,Jose78fernandez,jose m. fernandez,522605263,2020-03-30T21:00:00Z
22,JoseAnt1961,JoseAnt1961,496771417,2020-03-31T01:00:00Z
19,JoseAnt1961,JoseAnt1961,496771417,2020-03-31T00:00:00Z
13,JoseAnt1961,JoseAnt1961,496771417,2020-03-30T16:00:00Z
87,JoseAnt1961,JoseAnt1961,496771417,2020-03-30T00:00:00Z
34,JoseCastroRiver,Verdadmentira,446485953,2020-03-30T20:00:00Z
11,joseduarteabog1,José Duarte,2684735315,2020-03-30T19:00:00Z
34,JoseF38155544,betybubu.,1215310552219758592,2020-03-30T23:00:00Z
27,JoseF38155544,betybubu.,1215310552219758592,2020-03-30T20:00:00Z
22,JoseF38155544,betybubu.,1215310552219758592,2020-03-30T19:00:00Z
37,JoseF38155544,betybubu.,1215310552219758592,2020-03-30T15:00:00Z
15,JoseF38155544,betybubu.,1215310552219758592,2020-03-30T12:00:00Z
12,JoseF38155544,betybubu.,1215310552219758592,2020-03-30T00:00:00Z
40,josemariablanc3,jose Mª,1097698130,2020-03-31T07:00:00Z
97,josemariablanc3,jose Mª,1097698130,2020-03-31T06:00:00Z
16,josemariablanc3,jose Mª,1097698130,2020-03-31T05:00:00Z
45,josemariablanc3,jose Mª,1097698130,2020-03-30T08:00:00Z
16,JoseMFdez7,Jose M Fdez,1197200525021896704,2020-03-30T20:00:00Z
30,JoseMFdez7,Jose M Fdez,1197200525021896704,2020-03-30T16:00:00Z
11,JoseMFdez7,Jose M Fdez,1197200525021896704,2020-03-30T03:00:00Z
21,josesernal,José Serna Lorente,624864154,2020-03-31T07:00:00Z
74,josesernal,José Serna Lorente,624864154,2020-03-30T22:00:00Z
11,JosFern28770385,José Fernández,918423859749183489,2020-03-31T06:00:00Z
16,JosFern28770385,José Fernández,918423859749183489,2020-03-30T23:00:00Z
17,JosFern28770385,José Fernández,918423859749183489,2020-03-30T21:00:00Z
15,JosFern28770385,José Fernández,918423859749183489,2020-03-30T16:00:00Z
12,JosFern28770385,José Fernández,918423859749183489,2020-03-30T15:00:00Z
